Lineage	Max.Tree.Ratio	Max.Total.Ratio	Max.Tree.Av.AD	Max.Total.Av.AD	Tree.Av.Av.AD	Total.Av.Av.AD	Total.Av.AD.of.Line
B.1	1	1	1	18	0.256410256410256	10.7720390720391	1
B.1.1	1	1	42	42	21	22	42
B.39	0.142857142857143	0.896551724137931	0	19.5	0	10.1666666666667	4
B.1.369	0.555555555555556	0.888888888888889	1	24.5	0.5	12.75	1
A	0.176470588235294	0.888888888888889	0	20.5	0	10.25	10.25
A.5	0.15	0.885714285714286	0	19.25	0	15.9722222222222	19.25
B.6.3	0.176470588235294	0.882352941176471	0	7	0	7	7
A.16	0.125	0.875	0	8.5	0	8.5	8.5
A.1	0.15	0.868421052631579	0	10.25	0	7.875	10.25
B.11	0.1	0.866666666666667	0	4	0	4	4
B.1.2	0.714285714285714	0.863636363636364	42	42	13.3	19.08	14.4
A.2.2	0.214285714285714	0.862068965517241	0	4	0	3.25	2.5
B.1.9.3	0.103448275862069	0.862068965517241	0	4	0	4	4
A.2	0.103448275862069	0.862068965517241	0	15.75	0	15.75	15.75
B.31	0.142857142857143	0.857142857142857	0	7	0	7	7
B.4.5	0.107142857142857	0.857142857142857	0	4	0	4	4
B.3	0.176470588235294	0.85	0	7.66666666666667	0	5.625	7.66666666666667
A.3	0.1875	0.848484848484849	0	18.8333333333333	0	12.9166666666667	18.8333333333333
B	0.15	0.848484848484849	0	16.6666666666667	0	8.85784313725491	15.6
A.7	0.0909090909090909	0.848484848484849	0	7	0	7	7
B.1.1.7	0.230769230769231	0.846153846153846	0	2	0	2	2
B.29	0.09375	0.84375	0	4	0	4	4
B.23	0.0789473684210526	0.842105263157895	0	9.4	0	9.4	9.4
A.28	0.12	0.84	0	7	0	5.5	7
B.1.258	0.0967741935483871	0.838709677419355	0	4	0	4	4
B.1.1.70	0.166666666666667	0.833333333333333	0	2	0	2	2
B.1.177	0.136363636363636	0.833333333333333	0	24.5	0	12.625	9.5
A.24	0.0857142857142857	0.828571428571429	0	7	0	7	7
A.17	0.130434782608696	0.827586206896552	0	13.3333333333333	0	10.1666666666667	13.3333333333333
B.1.260	0.103448275862069	0.827586206896552	0	4	0	4	4
B.45	0.130434782608696	0.826086956521739	0	7	0	7	7
B.28	0.075	0.825	0	9.4	0	9.4	9.4
B.26	0.0909090909090909	0.818181818181818	0	3	0	3	3
A.20	0.107142857142857	0.813953488372093	0	7	0	7	7
B.1.221.3	0.1875	0.8125	0	13	0	13	13
B.37	0.0810810810810811	0.810810810810811	0	9	0	9	9
B.1.325	0.238095238095238	0.80952380952381	1	14.4	0.5	10.9	14.4
A.4	0.142857142857143	0.80952380952381	0	7	0	7	7
B.1.1.273	0.142857142857143	0.80952380952381	0	2	0	2	2
A.11	0.0967741935483871	0.806451612903226	0	7	0	7	7
B.40	0.0833333333333333	0.805555555555556	0	9	0	9	9
A.2.3	0.2	0.8	0	30.5	0	30.5	30.5
B.6.4	0.1875	0.8	0	7	0	7	7
B.3.1	0.176470588235294	0.8	0	7.66666666666667	0	6.75	7.66666666666667
A.23.1	0.15	0.8	0	7	0	7	7
B.6.5	0.15	0.8	0	7	0	7	7
B.1.436	0.15	0.8	0	24.5	0	24.5	24.5
B.1.447	0.1	0.8	0	4	0	4	4
A.9	0.1	0.8	0	7	0	7	7
B.15	0.0857142857142857	0.8	0	9	0	9	9
B.30	0.0769230769230769	0.794871794871795	0	9.4	0	9.4	9.4
A.21	0.0769230769230769	0.794871794871795	0	7	0	7	7
B.10	0.0882352941176471	0.794117647058823	0	9	0	9	9
A.26	0.0882352941176471	0.794117647058823	0	7	0	7	7
B.1.36	0.15	0.793103448275862	0	9.5	0	8.16666666666667	4
A.27	0.103448275862069	0.793103448275862	0	7	0	7	7
