Lineage	Mean.Tree.Ratio	Mean.Total.Ratio	Mean.Total.Ratio.Var	Mean.Tree.Av.AD	Mean.Total.Av.AD	Mean.Sig
B.1.596	0.0077922077922078	0.639708557373333	0.00676406069964478	0	7.69754689754689	0.684440164861217
B.1	0.000769717547126185	0.635292342817691	0.00587080832681076	0	8.98999322936199	0.703472912073067
B.1.2	0.00437317784256559	0.638666963260015	0.00471556803635738	0	8.26842918985775	0.709423184572417
B.1.580	0.0441176470588235	0.647510412817097	0.0175149033209626	0	9.11805555555555	0.622249417249417
B.1.1.332	0	0.785714285714286	0.0714285714285714	0	1	0.125
C.17	0	0.660149052171101	0.0265206678630333	0	8.24285714285715	0.396146245059289
B.1.177.51	0	0.633738824871266	0.0144843366488312	0	6.22222222222223	0.523809523809524
B.1.517	0	0.65543246616133	0.00853081359946936	0	11.6736111111111	0.762291666666666
B.1.1.369	0	0.66643874418922	0.0254258330518199	0	6.48	0.440716508283576
B.1.1.10	0	0.674284913507334	0.0223143210769655	0	5.37342312008979	0.513410249506226
B.1.239	0	0.639471541505435	0.00931699352932918	0	9.33333333333332	0.711111111111111
B.1.177	0	0.588074478291905	0.0140605453092549	0	5.09449147343884	0.527594847372175
B.1.1	0	0.625187252586647	0.0110889216983363	0	10.3308421681315	0.533292774994101
B.1.177.17	0	0.629969675355071	0.00959177176215716	0	5.66666666666667	0.517857142857143
B.1.36.9	0	0.577272727272727	0.0196969696969697	0	6.66666666666667	0.555555555555556
B.1.206	0	0.648200591608082	0.0124545735669064	0	10.856277056277	0.771984166093563
B.1.177.21	0	0.624273111637732	0.0108848627048493	0	6.66666666666668	0.538757763975155
B.1.195	0	0.654321811474616	0.00546018199383354	0	9.11250000000001	0.720168970814132
B.1.36	0	0.520095473864214	0.023584953713064	0	6.70290404040404	0.502969137062859
B.1.177.9	0	0.625492957476891	0.0183687752733489	0	5.11111111111112	0.511904761904762
B.1.336	0	0.649761549147966	0.0069586205451715	0	8.95378787878787	0.740833196833197
B.1.177.42	0	0.614480674190512	0.0308090613916766	0	4.83333333333334	0.508928571428571
B.1.523	0	0.686567164179104	0.0149253731343284	0	5.5	0.323529411764706
B.1.1.243	0	0.656396350562294	0.00744857018540606	0	8.3	0.634992987377279
B.1.232	0	0.64742712635084	0.00849938701608756	0	9.23863636363637	0.697047397047397
B.1.1.236	0	0.681818181818182	0.00909090909090909	0	6	0.5
B.1.177.86	0	0.629910846326108	0.00841049293799959	0	6.00000000000001	0.55952380952381
R.1	0	0.670225208411099	0.0105270934428269	0	6	0.5
B.1.1.464	0	0.641516734289471	0.00845865416417316	0	9.64646464646464	0.606494676494676
B.1.36.8	0	0.454200216121214	0.0196529091999687	0	6.55555555555556	0.507662835249042
B.1.160.24	0	0.68	0.0133333333333333	0	5.5	0.323529411764706
B.1.398	0	0.624746939590517	0.00838868347838656	0	10.1594516594516	0.732947232947233
B.1.400	0	0.62760725964656	0.00980563522533348	0	9.55902777777777	0.7275
B.1.1.272	0	0.676767676767677	0.0101010101010101	0	6	0.5
B.1.160	0	0.625180868429466	0.00938349867022503	0	7.50395622895623	0.647878891446666
B.1.1.50	0	0.624860182060546	0.0121103766350188	0	11.5197278911565	0.542490118577075
B.1.177.6	0	0.583879558953349	0.0193670277247433	0	5.33333333333334	0.53968253968254
B.1.1.300	0	0.64769743407811	0.00904742332108028	0	7.11363636363637	0.494294605809129
B.1.177.30	0	0.606775044275044	0.0326696889196889	0	5.66666666666667	0.517857142857143
B.1.177.29	0	0.675675675675676	0.0135135135135135	0	10.6666666666667	0.571428571428571
B.1.1.267	0	0.633397057833453	0.0113330404031709	0	9.22857142857143	0.505797101449276
B.1.1.308	0	0.641372266282143	0.0100937274693584	0	8.7	0.497826086956522
B.1.1.406	0	0.635791886979511	0.0111326834104429	0	8.22727272727275	0.488589211618258
B.1.1.368	0	0.666666666666667	0.00740740740740741	0	6	0.5
B.1.1.421	0	0.659537166900421	0.00667547739777754	0	8.125	0.66
B.1.1.125	0	0.67135989010989	0.00927197802197802	0	6	0.5
B.1.1.1	0	0.632565639753925	0.0140232159008745	0	9.06720263863122	0.532381098340369
B.1.1.309	0	0.651784808043918	0.0106399849219021	0	7.82575757575757	0.599099099099099
B.1.1.319	0	0.633661947850876	0.0113138389954596	0	9.95555555555558	0.514025974025974
B.1.127	0	0.650511509278951	0.00840278329967185	0	7.04545454545454	0.590909090909091
B.1.470	0	0.650416556271895	0.0084488798610498	0	7.85	0.573055028462998
B.1.1.486	0	0.638676476267717	0.010263391650253	0	8.7	0.497826086956522
B.1.177.57	0	0.609815414180554	0.00828505457993877	0	6.22222222222223	0.523809523809524
B.1.320	0	0.649081091293933	0.00583005554023249	0	7.62222222222222	0.700119474313023
B.1.110	0	0.653444405057308	0.0065697743117098	0	10.4583333333333	0.695714285714286
B.1.1.214	0	0.67032967032967	0.010989010989011	0	6	0.5
B.1.1.391	0	0.657049265452288	0.0090221980742549	0	6	0.5
B.1.1.515	0	0.635171421983088	0.0122731778001909	0	9.49285714285715	0.509782608695653
B.1.1.111	0	0.640340677867566	0.0108423928841346	0	9.2777777777778	0.506818181818182
B.1.1.392	0	0.637432939822269	0.010111098930463	0	7.4848484848485	0.492392807745505
B.1.247	0	0.589505521594727	0.0156848149231025	0	7.13388888888889	0.528055878477873
B.1.1.234	0	0.656290956749673	0.0110806624568093	0	10.625	0.5
B.1.1.373	0	0.653864944705347	0.00993978185123466	0	9.08333333333333	0.5
B.1.1.12	0	0.63075255134457	0.0103027484686132	0	8.46363636363638	0.49320764928739
B.1.1.67	0	0.636294295645367	0.0089524897305119	0	10.265873015873	0.59217720685112
B.1.561	0	0.63445603032219	0.0174046302210124	0	9.65824915824915	0.630225609369102
B.1.404	0	0.642212383959634	0.00679228561601042	0	10.1679292929293	0.740990990990991
B.1.177.44	0	0.599010001128733	0.0115149869279271	0	4.88888888888889	0.509523809523809
B.1.177.8	0	0.666666666666667	0.0138888888888889	0	10.6666666666667	0.571428571428571
A	0	0.616290726817043	0.0123761785415921	0	7.62857142857143	0.526854219948849
B.1.227	0	0.663265306122449	0.00566893424036282	0	5.41666666666667	0.486111111111111
B.1.324	0	0.647305097925721	0.00538520136270343	0	9.36363636363636	0.708172458172458
B.1.465	0	0.64685832411025	0.0117162818288863	0	7.425	0.607291666666667
B.1.9.3	0	0.666666666666667	0.0151515151515152	0	5.5	0.289473684210526
B.1.459	0	0.650871711974965	0.0126176322498812	0	6.26666666666667	0.433552551455365
B.1.462	0	0.656410256410257	0.0152680652680653	0	5.5	0.323529411764706
B.1.9.5	0	0.666666666666667	0.0222222222222222	0	7.33333333333333	0.611111111111111
B.1.375	0	0.621794871794872	0.0400641025641026	0	4	0.333333333333333
A.5	0	0.581768267409173	0.0314034732001102	0	4.83132530120482	0.5
B.1.1.521	0	0.645244682853379	0.0107064955977999	0	9.42613636363637	0.494294605809129
B.1.1.383	0	0.61634641156512	0.0112751879546912	0	10.2102453102453	0.502434215613
B.1.1.480	0	0.640263769762555	0.0096687959566176	0	9.20535714285715	0.590869565217392
B.1.1.168	0	0.632817000853335	0.0112992009071434	0	8.85714285714287	0.514492753623189
B.1.1.384	0	0.666666666666667	0.00952380952380952	0	6	0.5
B.1.1.58	0	0.659609045641025	0.0124091475204492	0	10.7708333333333	0.554347826086957
B.1.1.462	0	0.646194083694084	0.00730072193887983	0	6	0.5
B.1.1.59	0	0.64409936751151	0.010606368914302	0	7.42857142857143	0.507246376811594
B.1.1.5	0	0.649635225664062	0.00612391183345574	0	8.23181818181818	0.654969485614647
B.1.1.398	0	0.64060922189462	0.0104516446426844	0	7.13446969696971	0.535961272475796
B.1.1.190	0	0.646929824561403	0.0119552914544425	0	8.14285714285715	0.510869565217392
B.1.1.518	0	0.653921568627451	0.0141998734977862	0	8.14285714285715	0.510869565217392
AM.1	0	0.666666666666667	0.0114942528735632	0	6	0.5
C.16	0	0.642767295597484	0.0389937106918239	0	5.64285714285715	0.283596837944664
W.1	0	0.583333333333333	0.0430402930402931	0	4	0.5
B.1.177.35	0	0.605268545708266	0.0208733469499923	0	4.83333333333334	0.508928571428571
B.1.249	0	0.650700532098151	0.00310071584427516	0	8.77777777777776	0.75
B.1.570	0	0.665551839464883	0.00334448160535117	0	5.33333333333333	0.666666666666667
B.1.578	0	0.641150370908978	0.00333258856639813	0	9.05627705627704	0.756756756756757
B.1.113	0	0.63422473184698	0.00947989247426343	0	5.5	0.625
B.1.270	0	0.662312916480381	0.00326265142321858	0	5.33333333333333	0.666666666666667
B.1.573	0	0.664473684210526	0.00328947368421053	0	5.33333333333333	0.666666666666667
B.1.258	0	0.638574833570722	0.0163572025359176	0	6.72828282828282	0.62815756933404
B.1.198	0	0.664406779661017	0.00338983050847458	0	5.33333333333333	0.666666666666667
B.1.234	0	0.637564042954556	0.00426571425329691	0	10.4129935720845	0.762926811108629
B.1.1.402	0	0.632840659920904	0.0125358546352768	0	9.66836734693879	0.561242236024845
B.1.215	0	0.664179104477612	0.00746268656716418	0	7.33333333333333	0.611111111111111
B.1.1.46	0	0.655233854490818	0.00651260037267774	0	5.83333333333333	0.541666666666667
B.1.1.268	0	0.64362897819921	0.00863560972738965	0	9.78472222222223	0.545075757575758
B.1.1.204	0	0.633522925485533	0.00997603031359798	0	8.22727272727275	0.488589211618258
B.1.1.307	0	0.628479201007703	0.0128188199659572	0	11.4059523809524	0.50971673254282
B.1.1.166	0	0.626043063946836	0.0122901278654203	0	10.2128306878307	0.508153440762137
B.1.533	0	0.650027044606484	0.0112937763171408	0	8.08333333333333	0.554347826086957
B.1.493	0	0.663366336633663	0.0033003300330033	0	5.33333333333333	0.666666666666667
B.1.1.355	0	0.636017295584615	0.0128697865653195	0	9.22857142857143	0.505797101449276
B.1.1.71	0	0.65532431052094	0.0112997957099081	0	13	0.5
B.1.1.191	0	0.630489159901602	0.00983530181133195	0	8.01839826839828	0.541396055084491
B.1.1.341	0	0.662921348314607	0.0112359550561798	0	6	0.5
B.1.177.32	0	0.569308574879227	0.0318085748792271	0	5.66666666666667	0.517857142857143
C.36	0	0.658091908091908	0.00546953046953047	0	7.75	0.654255319148936
B.1.520	0	0.654110941859602	0.00323425644860938	0	5.33333333333333	0.666666666666667
B.1.417	0	0.645963881979478	0.00260783093106889	0	8.59444444444444	0.769749103942652
B.1.1.137	0	0.650017873269115	0.00804297110174594	0	13.7361111111111	0.666666666666667
B.1.177.4	0	0.619022262899814	0.0108837981286961	0	6.00000000000001	0.55952380952381
A.22	0	0.662116040955631	0.0068259385665529	0	7.6	0.558823529411765
B	0	0.587092786768686	0.00913970383373615	0	11.5361721611722	0.755573057143885
B.1.601	0	0.662068965517241	0.00344827586206897	0	5.33333333333333	0.666666666666667
B.1.1.415	0	0.644640742202921	0.0120657323332017	0	8.8181818181818	0.506
B.1.1.144	0	0.643083741386677	0.0139572968287256	0	9.21428571428573	0.516304347826087
B.1.111	0	0.661538461538462	0.0153846153846154	0	5.5	0.5
B.1.292	0	0.661316087807895	0.00321034731526332	0	5.33333333333333	0.666666666666667
B.1.143	0	0.652135044086187	0.00744502275977379	0	5.38888888888889	0.611111111111111
B.1.1.115	0	0.655329616174585	0.00762759191984036	0	6	0.5
B.1.187	0	0.661184210526316	0.00328947368421053	0	5.33333333333333	0.666666666666667
C.12	0	0.661184210526316	0.00328947368421053	0	5.33333333333333	0.666666666666667
B.1.1.53	0	0.611830394971103	0.0112473959411757	0	10.4157647907648	0.498368291234294
B.1.502	0	0.660899653979239	0.00346020761245675	0	5.33333333333333	0.666666666666667
