Lineage	Mean.Tree.Ratio	Mean.Total.Ratio	Mean.Total.Ratio.Var	Mean.Tree.Av.AD	Mean.Total.Av.AD	Mean.Sig
B.1.596	0.0563888179350931	0.64445733380048	0.0404268988617096	0	13.1087847074421	0.414488597976132
B.1.2	0.0288513461899991	0.639380821348588	0.0388970132151426	0	12.0213338330765	0.436555638831538
B.1.595	0.0101102941176471	0.608839462035237	0.0357697529214514	0	8.87450406392065	0.37986607272268
B.1	0.000698540720988736	0.656150449224054	0.0325677864259298	0	9.18971479182452	0.39722250314535
B.1.234	0.0144230769230769	0.621051060867241	0.0375787077218316	0	10.2582665410329	0.432569641059547
B.1.1.433	0	0.682648184806825	0.0377981928634521	0	8.0308023215	0.382333705187679
N.5	0	0.909090909090909	0.0454545454545455	0	2	0.222222222222222
B.1.1.333	0	0.784460052677788	0.0368744512730465	0	2	0.222222222222222
N.7	0	0.88	0.04	0	2	0.222222222222222
AP.1	0	0.787507534659433	0.080666063893912	0	5.4040404040404	0.369776644137357
N.3	0	0.863636363636364	0.0454545454545455	0	2	0.222222222222222
N.6	0	0.713693270735524	0.058528951486698	0	4.93333333333333	0.310101875654575
N.4	0	0.761036299765808	0.0411348555815769	0	4.93333333333333	0.310101875654575
N.1	0	0.798076923076923	0.0348557692307692	0	2	0.222222222222222
B.1.1.348	0	0.683401972111194	0.0401200655672818	0	7.60481457540282	0.383089579837893
B.1.1.301	0	0.842105263157895	0.0526315789473684	0	2	0.222222222222222
N.9	0	0.82	0.06	0	10.5	0.350606909430438
B.1.1.332	0	0.80952380952381	0.0523809523809523	0	2	0.222222222222222
N.8	0	0.833333333333333	0.0416666666666667	0	2	0.222222222222222
B.1.1.382	0	0.753683241252302	0.0526396562308164	0	4.23076923076923	0.272030651340996
B.1.1	0	0.647848738163666	0.0400326674394531	0	8.69717480020391	0.413499321631665
B.1.1.432	0	0.676927955683956	0.0343791074822393	0	7.00032356532356	0.416885485838539
B.1.1.51	0	0.695050948720673	0.039163213016424	0	7.28636106395019	0.379314946033711
K.1	0	0.731736199672071	0.0427673528875934	0	5.43055555555556	0.324631860776439
B.1.1.33	0	0.728172557700744	0.0386286198604208	0	4.87164750957854	0.308370285327632
AE.8	0	0.682843745647882	0.0569656418196564	0	8.06341463414633	0.398859042863625
B.1.1.70	0	0.655134185291322	0.0464698496534152	0	8.96678365427425	0.386705369289002
B.1.1.218	0	0.696424505594588	0.0323721701795472	0	3.32142857142857	0.255827505827506
B.1.1.464	0	0.681567663266249	0.0374620516792171	0	5.35559127604583	0.343442563439669
B.1.169	0	0.685279029387447	0.030153344465686	0	8.49148882006025	0.366933897991116
B.1.1.10	0	0.689455959309022	0.0420486998911874	0	13.531260958812	0.514885418639137
B.1.1.393	0	0.78	0.06	0	10.5	0.350606909430438
B.1.1.418	0	0.742105263157895	0.0513157894736842	0	2	0.222222222222222
B.1.1.298	0	0.628036415867506	0.0403216411922815	0	3.06003788626582	0.280004854899068
AQ.1	0	0.8	0.0666666666666667	0	2	0.222222222222222
B.1.1.83	0	0.642348969066388	0.0202022846913284	0	13.0311376583154	0.522037665515175
B.1.221	0	0.657404759037838	0.0362147797232893	0	9.25968638309242	0.419337818764747
L.1	0	0.785714285714286	0.0357142857142857	0	2	0.222222222222222
B.1.1.28	0	0.623181005635734	0.036084865886857	0	8.13365838365839	0.584229344779164
C.2.1	0	0.700549450549451	0.0934065934065932	0	1.66666666666666	0.134920634920635
B.1.1.369	0	0.677631230022469	0.058864603327807	0	5.16363636363636	0.270673185658072
B.1.1.8	0	0.644206983937868	0.0257378198418866	0	1.53333333333333	0.148148148148148
B.1.1.289	0	0.716845275958577	0.0418536058930148	0	3.95173745173746	0.30694920907185
N.2	0	0.777777777777778	0.037037037037037	0	2	0.222222222222222
B.1.1.519	0	0.649686513288266	0.0355147665470954	0	8.86897653467422	0.406943986395576
B.1.177.12	0	0.632909749450365	0.0320797075596363	0	8.1888888888889	0.495611281771149
B.1.177.51	0	0.674212848812179	0.0709098260062507	0	7.34722222222222	0.467885872297637
B.1.1.253	0	0.669846508346521	0.0327214631071245	0	6.5810810810811	0.354625262054507
B.1.240	0	0.650863921280231	0.0427806652711294	0	8.23645695783311	0.469960736975101
B.1.1.434	0	0.685201602050917	0.0385609595883568	0	5.31527777777778	0.293411054289099
B.1.1.306	0	0.623182708348709	0.0469815187053652	0	5.03821950407316	0.287140173033246
C.34	0	0.684615384615385	0.067032967032967	0	1.75	0.14520202020202
B.1.1.312	0	0.69096914352115	0.0598777360969018	0	4.8873873873874	0.25493535988819
B.1.1.448	0	0.700307599640163	0.0382343298813806	0	10.1629435558007	0.384248879170615
K.3	0	0.761904761904762	0.0476190476190476	0	2	0.222222222222222
B.1.575.1	0	0.741392801251956	0.0279733959311424	0	3	0.123287671232877
B.1.1.291	0	0.668541056406368	0.0431530159319271	0	8.61927951864325	0.415511218541181
B.1.1.198	0	0.665805221144936	0.036295669681399	0	7.86474012474013	0.348867574775573
B.1.1.209	0	0.726153846153846	0.0592307692307693	0	2.5	0.306763285024155
B.1.362	0	0.698352982770447	0.027012038592187	0	5.72275132275132	0.378529483523047
B.1.517	0	0.647258694950158	0.032066390380742	0	6.38174139051332	0.329961028621095
B.1.503	0	0.720656648316223	0.0223214138107755	0	6.55555555555557	0.455831877377545
B.1.608	0	0.642750699883903	0.0241819777721788	0	6.145	0.283770557199065
B.1.293	0	0.642344784792049	0.0289094977118865	0	6.49713804713805	0.344925140741367
B.1.615	0	0.706578947368421	0.0279239766081871	0	6.7142857142857	0.255792771786651
B.1.336	0	0.695006761554045	0.02712328869425	0	5.40772765246449	0.268240866379873
B.1.3	0	0.655999825510355	0.0276292576816292	0	13.0618264840183	0.630706541200334
B.1.413	0	0.676763323963845	0.0382825873404918	0	8.09027777777778	0.411230258951039
B.1.1.311	0	0.669621310062487	0.0498227868484035	0	6.06466165413533	0.32847875826314
B.1.1.464.1	0	0.700783972125435	0.0365309233449478	0	5.61904761904762	0.32244008714597
B.1.1.317	0	0.693904812241228	0.0392193728284688	0	3.6	0.259297879735836
B.1.1.340	0	0.632977224754942	0.0402306265434339	0	5.38654875825929	0.325013026572406
B.1.1.50	0	0.659770355936659	0.0386915060576899	0	7.41799460892203	0.360876832873804
B.1.1.322	0	0.75	0.1	0	1.5	0.0454545454545455
B.1.1.222	0	0.676161807396188	0.0533824168735187	0	10.65027100271	0.44775350928247
AQ.2	0	0.75	0.0625	0	2	0.222222222222222
C.17	0	0.665446377356051	0.0600955346443554	0	4.86299648064353	0.252192545706608
C.35	0	0.641488324367505	0.0493530231440858	0	6.13673111521031	0.303839968712997
B.1.1.1	0	0.632012788044784	0.0533945926614264	0	4.90521558972061	0.25505247172203
AD.2.1	0	0.704113924050633	0.0767405063291139	0	5.875	0.308080808080808
B.1.177.45	0	0.644820437455561	0.0374905826095307	0	8.27777777777778	0.452182973945042
B.1.177	0	0.592603801462829	0.034499748185449	0	9.06294277416279	0.494836443107397
B.1.1.335	0	0.681705342728922	0.0285057363662405	0	7.28962732919254	0.298824396562719
