Lineage	Mean.Tree.Ratio	Mean.Total.Ratio	Mean.Total.Ratio.Var	Mean.Tree.Av.AD	Mean.Total.Av.AD	Mean.Sig
B.1.596	0.0494507612178351	0.638338200045702	0.0349359201810047	0	29.1377409940236	0.497101987348654
B.1.2	0.0315617264388626	0.643950674034917	0.029319209227342	0	28.5153045446829	0.507437915617692
B.1.595	0.0163690476190476	0.644874967576102	0.0293580239669342	0	27.1240807567338	0.451492606855267
B.1	0.000400091309182218	0.648430422524734	0.0266705755240251	0	27.4885051778539	0.480935282009137
B.1.234	0.0144230769230769	0.625721985400991	0.0268493498319137	0	26.4650087198341	0.471644615045494
B.1.1.433	0	0.678374442878018	0.0473434574711596	0	29.1395781119465	0.520560831003947
N.5	0	0.909090909090909	0.0909090909090909	0	31.3333333333333	0.5875
B.1.1.333	0	0.784460052677788	0.0886742756804212	0	31.3095238095238	0.560823170731708
N.7	0	0.88	0.08	0	31.3333333333333	0.5875
AP.1	0	0.783288125376733	0.0977245328511152	0	30.0116959064327	0.556903400063553
N.3	0	0.863636363636364	0.0909090909090909	0	31.3333333333333	0.5875
N.6	0	0.71056338028169	0.0697183098591549	0	29.5238095238095	0.694620722177311
N.4	0	0.757913739266198	0.0627537080405933	0	30.6349206349206	0.557120722177311
N.1	0	0.798076923076923	0.0697115384615384	0	31.3333333333333	0.5875
B.1.1.348	0	0.67539083267347	0.0539007801685109	0	30.617673814165	0.530055868611838
B.1.1.301	0	0.842105263157895	0.105263157894737	0	31.3333333333333	0.5875
N.9	0	0.82	0.08	0	31.3333333333333	0.5875
B.1.1.332	0	0.80952380952381	0.104761904761905	0	31.3333333333333	0.5875
N.8	0	0.833333333333333	0.0833333333333333	0	31.3333333333333	0.5875
B.1.1.382	0	0.73987108655617	0.0693677102516881	0	31.9666666666667	0.575756920415225
B.1.1	0	0.639018704236373	0.0397238170718563	0	28.9219916183087	0.516329122426395
B.1.177.45	0	0.656262351892694	0.0391492600601512	0	17.6498383968972	0.358496253844964
B.1.1.432	0	0.667404580532327	0.0460986598201427	0	30.5957671957672	0.554185141896319
B.1.1.51	0	0.689290142042436	0.0395463615647102	0	27.3922558922559	0.520923480613076
K.1	0	0.725724175623975	0.0554745855347057	0	28.7142857142857	0.55670585412668
B.1.1.33	0	0.727709944052872	0.0603834246372779	0	30.1012977262977	0.553518855619854
AE.8	0	0.677932508376547	0.076392985000041	0	29.508658008658	0.518616629058866
B.1.1.70	0	0.645852391333072	0.047264675910347	0	28.9732597811545	0.547623623508232
B.1.1.218	0	0.691216172261254	0.05779989591465	0	30.9791666666667	0.579988354037267
B.1.1.464	0	0.702825264212913	0.0556840838128247	0	29.673088150262	0.564810126788149
B.1.177	0	0.610169028605452	0.0426133360934294	0	12.4066209837785	0.281238705268879
B.1.1.306	0	0.6227613199646	0.0754849339371694	0	28.7122935836094	0.543493953433469
B.1.169	0	0.672258353997107	0.0370184555909179	0	29.5235260770975	0.488716011319337
B.1.1.10	0	0.688404768013321	0.0533414973545485	0	32.8357775539114	0.532173869806969
B.1.1.393	0	0.78	0.08	0	31.3333333333333	0.5875
B.1.1.418	0	0.742105263157895	0.102631578947369	0	31.3333333333333	0.5875
B.1.1.298	0	0.627587001430174	0.0645191212342634	0	30.4192754753416	0.602190990915663
AQ.1	0	0.8	0.133333333333333	0	31.3333333333333	0.5875
B.1.1.83	0	0.642099944585002	0.0406651402239811	0	31.047984092627	0.531593931002501
L.1	0	0.785714285714286	0.0714285714285714	0	31.3333333333333	0.5875
B.1.1.28	0	0.647566181064442	0.085966521466243	0	23.7602564102564	0.472630786271963
C.2.1	0	0.662087912087912	0.0549450549450549	0	28	1
B.1.1.369	0	0.669289746123825	0.0555757932377661	0	28.2320887445887	0.790649257264623
B.1.1.277	0	0.646342784406991	0.0357485362977759	0	27.4548675610595	0.504064708102235
B.1.1.8	0	0.644206983937868	0.0518340626228412	0	26.162962962963	0.435700669734245
B.1.1.289	0	0.715558274671575	0.0699179122824443	0	29.0816326530612	0.573289833314085
N.2	0	0.777777777777778	0.0740740740740741	0	31.3333333333333	0.5875
B.1.1.519	0	0.64554514826276	0.0445631621133272	0	28.9445045695046	0.508884762453133
B.1.544	0	0.665172469322376	0.0269688731536607	0	25.7740835464621	0.46123584717892
B.1.1.253	0	0.666794623194268	0.0389932548947253	0	29.6439393939394	0.529743860322333
B.1.1.434	0	0.678932847973944	0.0607781487918474	0	29.3154761904762	0.544375084253975
C.34	0	0.67032967032967	0.0527472527472527	0	28	1
B.1.1.312	0	0.671265456658204	0.0659492503757595	0	30.2070707070707	0.548995906881555
K.3	0	0.761904761904762	0.0952380952380952	0	31.3333333333333	0.5875
B.1.1.291	0	0.658662460022589	0.0377066316362316	0	28.8073079869906	0.525931129751825
B.1.1.198	0	0.655597042246792	0.0353321608433546	0	27.7775757575758	0.499759946538331
B.1.1.209	0	0.726153846153846	0.0784615384615384	0	31.3333333333333	0.5875
B.1.221.4	0	0.75	0.125	0	26.5	0.395522388059701
B.1.1.311	0	0.663783933755471	0.0520709524504591	0	27.7686111111111	0.59954537172917
B.1.1.464.1	0	0.695557491289199	0.0469294425087108	0	29.0104166666667	0.526828602620087
B.1.1.448	0	0.69756255318982	0.0515893226584663	0	29.1312925170068	0.527485492132176
B.1.1.317	0	0.693904812241228	0.0577817023518106	0	31.3238095238095	0.640217879604672
B.1.1.340	0	0.631112730068035	0.0585079521023783	0	28.8007401315789	0.523098834205191
B.1.1.50	0	0.647996611445505	0.0376389953758432	0	29.2994227994228	0.514593356706835
B.1.1.222	0	0.672556354916067	0.0632805474918311	0	29.025	0.635307532550523
AQ.2	0	0.75	0.125	0	31.3333333333333	0.5875
C.17	0	0.644394569275564	0.0411202869649199	0	29.0916666666667	0.765301539171677
C.35	0	0.635456769819372	0.0433789900106526	0	26.9903825219615	0.661391789927057
B.1.1.1	0	0.61595844262107	0.0408053300484203	0	27.8873652441834	0.754985216201915
AD.2.1	0	0.700949367088608	0.0735759493670886	0	28.25	0.765734265734266
B.1.177.75	0	0.634271650492092	0.04237991741656	0	8.03333333333333	0.134979410523692
B.1.177.19	0	0.701086956521739	0.0467391304347826	0	1	0.0147058823529412
B.1.1.351	0	0.655787813160076	0.0481077473100414	0	32.5244444444444	0.558304483431956
B.1.362	0	0.688108709000945	0.0297883029245155	0	29.4607843137255	0.491345638190232
L.4	0	0.741935483870968	0.0967741935483871	0	34.6	0.544025157232704
B.1.369	0	0.657868624018907	0.0298561738067204	0	15.1164021164021	0.203938944812479
K.2	0	0.681017731357785	0.0574447413164925	0	28.6111111111111	0.528156438631791
B.1.1.279	0	0.704694170486642	0.0631069129971755	0	30.3888888888889	0.568822843822844
D.3	0	0.739130434782609	0.0869565217391304	0	31.3333333333333	0.5875
B.1.503	0	0.705001425879086	0.0230493354163567	0	31.5	0.417411460073505
B.1.1.273	0	0.660535883932701	0.0415569917734557	0	27.7553188131313	0.501429526813451
B.1.1.517	0	0.675438596491228	0.0701754385964913	0	31.3333333333333	0.5875
B.1.177.62	0	0.659787449392712	0.0483502024291498	0	13.075	0.268848203528468
B.1.3	0	0.684346816423211	0.0196382696062871	0	28.9480042016807	0.472352958348918
L.2	0	0.733333333333333	0.0666666666666667	0	31.3333333333333	0.5875
B.1.1.326	0	0.681254002764014	0.0557188964168942	0	28.8333333333333	0.52772605795565
AA.7	0	0.639393939393939	0.0560606060606061	0	1	0.0147058823529412
Z.1	0	0.629895190285285	0.0487094022798664	0	13.58	0.285348833093045
B.1.177.65	0	0.62306603533657	0.0538252523702538	0	12.6038529371863	0.313765354543171
B.1.575.1	0	0.713419405320813	0.0139866979655712	0	29.5	0.404109589041096
B.1.177.51	0	0.644266788551748	0.0395322799778594	0	19.8025641025641	0.376820313464149
B.1.291	0	0.680736646154987	0.0304971356843217	0	30.3988095238095	0.481522902222992
B.1.517	0	0.637920482004896	0.0214886559482479	0	30.075935828877	0.475171625777151
B.1.1.416	0	0.699186991869919	0.0500312695434647	0	31.3333333333333	0.5875
B.6.7	0	0.641520576803265	0.0225885764432855	0	23.0166666666667	0.357812684021448
B.1.1.521	0	0.666612228205251	0.0453472650194086	0	31.1106926406926	0.547620719831443
B.1.1.487	0	0.657534514897699	0.0416699004521055	0	31.424025974026	0.543468930672636
B.1.1.52	0	0.670764524979982	0.0373295677745327	0	32.0055555555555	0.56822492012356
B.1.1.153	0	0.664112306970196	0.0345126976485198	0	29.5607843137255	0.538694747646784
B.1.1.189	0	0.635572781411065	0.0407680465310426	0	29.2830797485343	0.527418675923046
B.1.1.181	0	0.687165775401069	0.0845216874628637	0	28.175	0.518325328375424
V.1	0	0.671328671328671	0.0839160839160839	0	1	0.0147058823529412
B.1.293	0	0.648743068910627	0.0203982632889501	0	27.6433452168746	0.478397114229002
B.1.177.86	0	0.655818361733867	0.0339926846679001	0	19.9233333333333	0.391913313849246
B.1.362.1	0	0.725806451612903	0.0161290322580645	0	29.5	0.404109589041096
B.1.1.54	0	0.670114792611672	0.0430294674756714	0	27.76	0.485702837822134
B.1.177.81	0	0.657626011999663	0.0284193185645627	0	13.0173789173789	0.193165176114339
L.3	0	0.669211822660098	0.0463875205254515	0	29.3508771929825	0.541605100095329
B.1.336	0	0.676410855720141	0.0184646610117471	0	28.5386597063068	0.452064336321995
B.1.608	0	0.669272460205156	0.0307020423739178	0	27.5148809523809	0.457113600569342
